,Days On Trulia,sale_price
sale_price,0.11407513546973143,1.0
Sqr Ft,0.20839718123295806,0.6182508279416048
Longitude,0.02684540368680298,-0.3055267866242391
Latitude,-0.0878333969230593,0.011794391903366324
Lot Size,-0.0319672138939813,-0.016748064347063097
Beds,0.09165845432436762,0.34087843158655323
Bath,0.18660947403573977,0.5707179063523402
Year Built,0.04483628515953604,-0.03599385530772069
Days On Trulia,1.0,0.11407513546973143
Zipcode,-0.04212203623411859,0.27589456896764647
