Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,Days on Market,City_atlanta,City_aurora,City_baltimore,City_denver,City_fort wayne,City_jacksonville,City_los angeles,City_orlando,City_tampa,City_washington,State_ca,State_co,State_dc,State_fl,State_ga,State_in,State_md,day_of_week_listed_Friday,day_of_week_listed_Monday,day_of_week_listed_Saturday,day_of_week_listed_Sunday,day_of_week_listed_Thursday,day_of_week_listed_Tuesday,day_of_week_listed_Wednesday
1600,-84.45522,33.721985,21780.0,3.0,2.0,1945.0,180.0,30311.0,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1867,-81.501564,30.302803,8317.0,4.0,2.0,2003.0,40.0,32246.0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1326,-81.64053,30.338814,6113.0,5.0,2.0,1999.0,34.0,32206.0,48,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1104,-81.684784,30.40596,4614.0,3.0,1.0,1954.0,10.0,32208.0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1808,-81.49535,30.362846,8393.0,3.0,2.0,1987.0,38.0,32225.0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3523,-81.14465,28.512957,7814.0,5.0,3.0,2002.0,28.0,32828.0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6179,-104.91193,39.717716,6000.0,5.0,6.0,2015.0,4.0,80230.0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1092,-81.41267,28.60515,6255.0,3.0,1.0,1950.0,73.0,32810.0,91,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1296,-76.52624,39.293507,1600.0,2.0,2.0,1954.0,60.0,21224.0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1919,-81.55667,30.3499,5488.0,4.0,3.0,2015.0,180.0,32211.0,198,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
968,-85.14066,41.054855,5358.0,3.0,1.0,1925.0,22.0,46807.0,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2204,-84.440216,33.72216,12196.8,4.0,3.0,1945.0,20.0,30311.0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3883,-104.804634,39.625175,17424.0,5.0,4.0,1979.0,180.0,80015.0,191,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1766,-81.48904,28.53363,13068.0,3.0,2.0,1985.0,20.0,32835.0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1128,-82.497055,27.871702,8800.0,3.0,2.0,1948.0,180.0,33611.0,199,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1116,-118.29468,33.97162,5928.0,3.0,1.0,1913.0,38.0,90044.0,58,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
943,-81.69569,30.317928,5438.0,3.0,1.0,1945.0,2.0,32204.0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1385,-81.40749,28.546726,5997.0,2.0,2.0,1957.0,9.0,32805.0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3689,-82.299805,28.139233,9000.0,5.0,4.0,2005.0,57.0,33647.0,78,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1848,-81.27195,28.521286,15245.999999999998,4.0,2.0,1980.0,39.0,32825.0,58,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1000,-84.4715,33.75923,11761.2,3.0,2.0,1950.0,38.0,30318.0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1980,-84.41408,33.767265,4800.0,5.0,2.0,1940.0,28.0,30318.0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3164,-84.411064,33.799957,23086.800000000003,4.0,3.0,1935.0,180.0,30318.0,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1104,-85.07935,41.108997,1.0,2.0,1.0,1982.0,9.0,46815.0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
