State,Address,City,sale_price,sale_date,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,listing_date,Days on Market
co,8625 santa fe dr,thornton,225000,2019-09-30,1199,-104.99911,39.853703,1833.0,3.0,2.0,1968.0,15.0,80260.0,2019-09-04,26
fl,6139 native woods dr,tampa,305000,2019-09-30,2875,-82.55579,28.089264,8962.0,4.0,3.0,2000.0,169.0,33625.0,2019-04-03,180
fl,587 cloisterbane dr,saint johns,378500,2019-09-30,2616,-81.55219,30.091984,13939.2,4.0,3.0,2015.0,50.0,32259.0,2019-07-31,61
ga,3566 jackson st,college park,0,2019-10-01,1406,-84.44316,33.65788,24829.2,2.0,1.0,1945.0,2.0,30337.0,2019-09-25,6
ga,2073 cascade rd sw,atlanta,0,2019-10-02,1600,-84.45522,33.721985,21780.0,3.0,2.0,1945.0,180.0,30311.0,2019-03-24,192
fl,12066 coachman meadows dr,jacksonville,100,2019-10-02,1867,-81.501564,30.302803,8317.0,4.0,2.0,2003.0,40.0,32246.0,2019-08-10,53
fl,1318 harrison st,jacksonville,100,2019-10-03,1326,-81.64053,30.338814,6113.0,5.0,2.0,1999.0,34.0,32206.0,2019-08-16,48
fl,9034 adams ave,jacksonville,39000,2019-10-03,1104,-81.684784,30.40596,4614.0,3.0,1.0,1954.0,10.0,32208.0,2019-09-09,24
fl,12139 chippenham ct,jacksonville,235000,2019-10-04,1808,-81.49535,30.362846,8393.0,3.0,2.0,1987.0,38.0,32225.0,2019-08-12,53
ca,20021 livorno way,northridge,640006,2019-10-04,1341,-118.573494,34.28104,126759.6,3.0,3.0,2004.0,11.0,91326.0,2019-09-08,26
fl,2704 fanning springs way,orlando,376500,2019-10-05,3523,-81.14465,28.512957,7814.0,5.0,3.0,2002.0,28.0,32828.0,2019-08-22,44
co,73 n magnolia way,denver,1650000,2019-10-05,6179,-104.91193,39.717716,6000.0,5.0,6.0,2015.0,4.0,80230.0,2019-09-25,10
fl,5208 2nd st,orlando,62000,2019-10-07,1092,-81.41267,28.60515,6255.0,3.0,1.0,1950.0,73.0,32810.0,2019-07-08,91
md,7123 eastbrook ave,baltimore,151900,2019-10-07,1296,-76.52624,39.293507,1600.0,2.0,2.0,1954.0,60.0,21224.0,2019-08-21,47
fl,2643 salt lake dr,jacksonville,252000,2019-10-07,1919,-81.55667,30.3499,5488.0,4.0,3.0,2015.0,180.0,32211.0,2019-03-23,198
in,315 w packard ave,fort wayne,62000,2019-10-08,968,-85.14066,41.054855,5358.0,3.0,1.0,1925.0,22.0,46807.0,2019-08-28,41
ga,1600 avon ave sw,atlanta,0,2019-10-08,2204,-84.440216,33.72216,12196.8,4.0,3.0,1945.0,20.0,30311.0,2019-08-30,39
co,15790 e monmouth pl,aurora,590000,2019-10-08,3883,-104.804634,39.625175,17424.0,5.0,4.0,1979.0,180.0,80015.0,2019-03-31,191
fl,7747 hyacinth dr,orlando,253000,2019-10-08,1766,-81.48904,28.53363,13068.0,3.0,2.0,1985.0,20.0,32835.0,2019-08-30,39
co,1650 w 113th ave,westminster,0,2019-10-08,3628,-105.00818,39.9015,9583.0,4.0,4.0,1980.0,2.0,80234.0,2019-09-28,10
fl,3125 w napoleon ave,tampa,100,2019-10-08,1128,-82.497055,27.871702,8800.0,3.0,2.0,1948.0,180.0,33611.0,2019-03-23,199
ca,1116 w 75th st,los angeles,470004,2019-10-09,1116,-118.29468,33.97162,5928.0,3.0,1.0,1913.0,38.0,90044.0,2019-08-12,58
fl,714 west st,jacksonville,95400,2019-10-09,943,-81.69569,30.317928,5438.0,3.0,1.0,1945.0,2.0,32204.0,2019-09-17,22
fl,332 n lakeland ave,orlando,152000,2019-10-10,1385,-81.40749,28.546726,5997.0,2.0,2.0,1957.0,9.0,32805.0,2019-09-10,30
fl,18046 cozumel isle dr,tampa,429000,2019-10-10,3689,-82.299805,28.139233,9000.0,5.0,4.0,2005.0,57.0,33647.0,2019-07-24,78
fl,1750 green meadow ln,orlando,210300,2019-10-10,1848,-81.27195,28.521286,15245.999999999998,4.0,2.0,1980.0,39.0,32825.0,2019-08-13,58
ga,2556 godfrey dr nw,atlanta,100000,2019-10-10,1000,-84.4715,33.75923,11761.2,3.0,2.0,1950.0,38.0,30318.0,2019-08-12,59
ga,460 andrew j hairston pl nw,atlanta,73000,2019-10-11,1980,-84.41408,33.767265,4800.0,5.0,2.0,1940.0,28.0,30318.0,2019-09-29,12
ca,2283 oregon ave,long beach,781007,2019-10-11,1891,-118.20162,33.798706,6353.0,4.0,2.0,1937.0,15.0,90806.0,2019-09-04,37
ga,698 bellemeade ave nw,atlanta,699000,2019-10-11,3164,-84.411064,33.799957,23086.800000000003,4.0,3.0,1935.0,180.0,30318.0,2019-03-31,194
in,4820 woodmark dr,fort wayne,84000,2019-10-11,1104,-85.07935,41.108997,1.0,2.0,1.0,1982.0,9.0,46815.0,2019-09-10,31
ca,557 n kenter ave,los angeles,2795027,2019-10-11,3417,-118.487495,34.068684,9760.0,4.0,3.0,1953.0,87.0,90049.0,2019-06-24,109
ga,1100 canter rd ne,atlanta,475000,2019-10-11,1463,-84.35172,33.841988,26136.0,3.0,2.0,1952.0,104.0,30324.0,2019-06-07,126
fl,14543 kristenright ln,orlando,299000,2019-10-12,2736,-81.16792,28.600807,5803.0,5.0,3.0,2000.0,32.0,32826.0,2019-08-18,55
ca,3262 gleason ave,los angeles,650006,2019-10-15,1416,-118.19743,34.03702,4399.0,4.0,3.0,1910.0,6.0,90063.0,2019-09-13,32
fl,7628 eldorado pl,orlando,230000,2019-10-15,1700,-81.4872,28.579697,9759.0,4.0,2.0,1985.0,6.0,32818.0,2019-09-13,32
co,24741 e layton pl,aurora,400000,2019-10-15,2353,-104.69957,39.629726,5662.0,4.0,4.0,2009.0,143.0,80016.0,2019-04-29,169
fl,1902 e hamilton ave,tampa,100,2019-10-16,957,-82.43868,28.014448,6544.0,2.0,1.0,1958.0,6.0,33610.0,2019-09-13,33
ga,1625 carroll dr nw,atlanta,160000,2019-10-16,800,-84.440956,33.802593,1498.0,1.0,1.0,1960.0,160.0,30318.0,2019-04-12,187
co,18169 e asbury dr,aurora,355000,2019-10-16,2288,-104.775826,39.680046,6970.0,4.0,2.0,1981.0,2.0,80013.0,2019-09-22,24
ca,937 robinson st,los angeles,710007,2019-10-16,528,-118.27742,34.084274,1597.0,1.0,1.0,1924.0,16.0,90026.0,2019-09-03,43
