,Unnamed: 0,Unnamed: 0_x,sale_price,Unnamed: 0_y,Longitude,Latitude,Beds,Bath,Year Built,Days On Trulia,Zipcode,Home Id
Unnamed: 0,1.0,0.9924213553829465,-0.2923050114316643,-0.0027886694034505275,0.6885037062884617,0.037019677373607264,-0.16407605257257124,-0.13455354256639845,0.022258727242040872,0.0240046877868493,-0.6945004865170624,0.006271078700610236
Unnamed: 0_x,0.9924213553829465,1.0,-0.30398792550537124,-0.0009409454127016645,0.7309984345772271,0.03632719988696485,-0.16793225849964724,-0.1416645338724205,0.017574910324557297,0.02266862615685765,-0.7319665899354659,0.0008342206233512427
sale_price,-0.2923050114316643,-0.30398792550537124,1.0,0.027017642826203198,-0.2963180250982878,0.0007105296229362329,0.3365316802701657,0.5603476724702761,-0.036819268715099246,0.11249159740938139,0.2666396740227415,-0.04944681428255779
Unnamed: 0_y,-0.0027886694034505275,-0.0009409454127016645,0.027017642826203198,1.0,0.00966404252502742,-0.029667137999778617,-0.042110597526626686,-0.004983870981675621,0.0012756293704764513,-0.026484903819678333,-0.011590858677876893,-0.01529750396031652
Longitude,0.6885037062884617,0.7309984345772271,-0.2963180250982878,0.00966404252502742,1.0,-0.26398378288044044,-0.12636754789158866,-0.08155882478177731,0.14376547039385118,0.028228467380366662,-0.9852471401076707,-0.0030462104068141502
Latitude,0.037019677373607264,0.03632719988696485,0.0007105296229362329,-0.029667137999778617,-0.26398378288044044,1.0,-0.036873797707075225,0.008070521345057691,-0.2823639389714553,-0.09182210940578088,0.2875425529147889,0.016078281746465185
Beds,-0.16407605257257124,-0.16793225849964724,0.3365316802701657,-0.042110597526626686,-0.12636754789158866,-0.036873797707075225,1.0,0.6151150733932624,0.0880478487592588,0.08965356229253223,0.12596183624661608,-0.05352608103211699
Bath,-0.13455354256639845,-0.1416645338724205,0.5603476724702761,-0.004983870981675621,-0.08155882478177731,0.008070521345057691,0.6151150733932624,1.0,0.22617307462240807,0.17865962946189115,0.07903968303251079,-0.08502187835214661
Year Built,0.022258727242040872,0.017574910324557297,-0.036819268715099246,0.0012756293704764513,0.14376547039385118,-0.2823639389714553,0.0880478487592588,0.22617307462240807,1.0,0.044876392224504444,-0.08631676674540156,0.0566995429515959
Days On Trulia,0.0240046877868493,0.02266862615685765,0.11249159740938139,-0.026484903819678333,0.028228467380366662,-0.09182210940578088,0.08965356229253223,0.17865962946189115,0.044876392224504444,1.0,-0.04455776825342761,-0.026237643070511796
Zipcode,-0.6945004865170624,-0.7319665899354659,0.2666396740227415,-0.011590858677876893,-0.9852471401076707,0.2875425529147889,0.12596183624661608,0.07903968303251079,-0.08631676674540156,-0.04455776825342761,1.0,8.906070665603381e-05
Home Id,0.006271078700610236,0.0008342206233512427,-0.04944681428255779,-0.01529750396031652,-0.0030462104068141502,0.016078281746465185,-0.05352608103211699,-0.08502187835214661,0.0566995429515959,-0.026237643070511796,8.906070665603381e-05,1.0
